date|description|images|title
2020-12-13|Piękne lustro mennicze, kilka mikrorysek na awersie. Stara, szlachetna patyna. \Fischer OB 014\\Stan zachowania 2+/1-\Waga 17,94 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605530905_132%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605530905_132%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar
2020-12-13|Wspaniale zachowany egzemplarz, połysk menniczy.\Piękna, kolorowa patyna dodająca uroku.\\Parchimowicz 115a\\Stan zachowania 1-\Waga 18,03 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605531037_2624K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605531037_2624K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar - PIĘKNY
2020-12-13|Bardzo ładnie zachowane szczegóły, sporo połysku, lekko przetarte tło.\\Parchimowicz 115a\\Stan zachowania 2\Waga 17,98 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605532477_800.K%20_3_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605532477_800.K%20_1_.JPG']|II RP. 5 złotych 1930 Sztandar - Ładny
2020-12-11 (20:12)|II RP 5 złotych 1930 Sztandar st.2-\Bardzo ładnie zachowane detale, ale tło monety przetarte.\Fischer OB 014\17,93 g Ag .750|['https://archiwum.niemczyk.pl/images/202012/67afbab44b4b895f47cdc86b2432_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202012/3ac8a12d4b3d94a872f53d0eeca4_orginal.jpg']|II RP 5 złotych 1930 Sztandar
2020-10-17|Jedna z najrzadszych obiegowych monet okresu II RP wybita głębokim stemplem.\Egzemplarz ze wspaniale zachowanymi detalami, warto zwrócić uwagę na pióra orła. Drobne ryski w tle i przetarcia.\Niezmiernie rzadka i poszukiwana moneta, szczególnie w takim stanie zachowania.\Sporadycznie notowana na aukcjach – polecamy!\Parchimowicz 115b; Fischer OB 014\\Stan zachowania 1-/2+\Waga 17,94 g Ag .750\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1599231034_81%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1599231034_81%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1600753349_1600753251_2020_09_21_072088.jpg']|II RP. 5 złotych 1930 Sztandar, STEMPEL GŁĘBOKI
2020-10-17|Wyśmienicie zachowany, menniczy egzemplarz z pięknym blaskiem menniczym. Kolorowa patyna przy rancie.\Moneta z najwyższej półki, do najlepszych zbiorów.\Parchimowicz 115a\\Stan zachowania NGC MS64 (2 MAX)\Waga Ag\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1599467288_618%20k%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1599467288_618%20k%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1599467288_618%20k%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS64 (2 MAX)
2020-10-17|Moneta wybita na 100-lecie Powstania Listopadowego.\Wspaniale zachowany menniczy egzemplarz. Intensywny połysk menniczy.\Fischer OB 014; Parchimowicz 115a\\Stan zachowania NGC MS62\Waga Ag\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1599467431_752K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1599467431_752K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1599467431_752K%20_3_.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS62
2020-10-17|Bardzo ładny egzemplarz. Blask menniczy, kolorowa patyna.\Fischer OB 014; Parchimowicz 115a\\Stan zachowania 1-/2+\Waga 17,87 g Ag .750\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1599467639_859K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1599467639_859K%20_2_.jpg']|II RP. II RP. 5 złotych 1930 Sztandar
2020-09-22 (19:09)|II RP 5 złotych 1930 Sztandar st.2\Waga: 17,98 g Ag .750\Fischer OB 014|['https://archiwum.niemczyk.pl/images/202009/a8efae284e94a63602435e100ffa_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202009/5104e35d44f990540e5bc2056a63_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.2
2020-09-12 (20:09)|II RP 5 zł 1930 Sztandar GCN AU58\Bardzo ładnie zachowana moneta w slabie GCN z notą AU58.\Parchimowicz 115a; Fischer OB 014\Ag .750|['https://archiwum.niemczyk.pl/images/202009/a59fc20f4c00b332d2a2b4a1811f_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202009/eb9eaafc4a2ca610ea174d5a839c_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202009/c1555f844413b2f173392a73122b_orginal.jpg']|II RP 5 zł 1930 Sztandar GCN AU58
2020-08-31 (21:08)|II RP 5 złotych 1930 Sztandar st. 3\Moneta czyszczona.\Fischer OB 014\17,92 g Ag .750|['https://archiwum.niemczyk.pl/images/202008/ff79c10f4242a813e1a591fe60c0_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202008/ac7f7ed24fc98452e54040aa5b97_orginal.jpg']|II RP 5 złotych 1930 Sztandar st. 3
2020-07-21 (19:07)|Patyna.\Waga: 17,65 g Ag .750\Fischer OB 014|['https://archiwum.niemczyk.pl/images/202007/82703b004053811d68042c3ffd15_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202007/8a2751f84e648472f91975ca3614_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.3+
2020-06-21|Wspaniale zachowany egzemplarz, intensywny połysk menniczy. Piękna, kolorowa patyna. Rzadka moneta w takim stanie zachowania.\Fischer OB 014; Parchimowicz 115a\\Stan zachowania PCGS MS62\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1590156380_502%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590156087_502%20_1__S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590156087_502%20_3__S.jpg']|II RP. 5 złotych 1930 Sztandar PCGS MS62
2020-06-21|Stara, szlachetna patyna. Przebijająca patyna. Piękny stan zachowania.\Fischer OB 014; Parchimowicz 115a\\Stan zachowania NGC MS62\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1590156520_751%20_2__S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590156520_751%20_4__S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590156520_751%20_3__S.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS62
2020-06-21|Stempel zwykły. Wspaniale zachowany egzemplarz. Delikatna patyna. Połysk.\Parchimowicz 115a\\Stan zachowania PCGS AU55\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1590156977_455K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590156977_455K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590156977_455K%20_3_.jpg']|II RP. 5 złotych 1930 Sztandar PCGS AU55
2020-06-21|Niewielkie przetarcie, delikatny połysk w tle, przyjemne detale.\Fischer OB 014\\\Stan zachowania 3+\Waga 17,87 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1590157565_335%20_2__S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590157565_335%20_1__S.jpg']|II RP. 5 złotych 1930 Sztandar
2020-06-21|Dobre detale, czyszczone tło.\Parchimowicz 115a\\Stan zachowania 3\Waga 18,05 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1590157907_61K%20_1_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590157907_61K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar
2020-06-21|Sporo połysku w tle, patyna.\Parchimowicz 115a\\Stan zachowania 2-/3+\Waga 17,94 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1590158829_1136K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590158829_1136K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar
2020-06-21|Dobre detal, przetarte tło.\Parchimowicz 115a\\Stan zachowania 3+\Waga 17,95 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1590158993_1148K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590158993_1148K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar
2020-06-21|Delikatny połysk. Równomierna patyna.\Parchimowicz 115a\\Stan zachowania 2-/3+\Waga 18,07 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1590389909_6_S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590389909_6a_S.jpg']|II RP. 5 złotych 1930 Sztandar
2020-05-23 (21:05)|Moneta wytrawiona i manipulowana.\Waga: 17,65 g Ag .750\Fischer OB 014|['https://archiwum.niemczyk.pl/images/202005/8aa20ae046818814bef6e4caa0d1_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202005/3f17e462441e896175147196e341_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.3-
2020-03-22 (21:03)|Patyna.\Waga: 18,01 g Ag .750\Fischer OB 014|['https://archiwum.niemczyk.pl/images/202003/d58b2bdd492e868d0ffefca2357f_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202003/74b236614cbbb4901d13cf93e290_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.3
2020-03-15|Wyśmienity egzemplarz. Blask menniczy, subtelna patyna i wspaniale zachowane detale. Rzadki numizmat w takim stanie zachowania. Polecamy.\\Fischer OB 014; Parchimowicz 115a\\Stan zachowania NGC MS63\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1581678883_2261K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1581678883_2261K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1581678883_2261K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS63 - Piękny
2020-03-15|Piękny stan zachowania. Złotawa patyna, połysk.\\Parchimowicz 115a\\Stan zachowania 2+\Waga 18,05 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1581679016_2381K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1581679016_2381K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar
2020-03-15|Sporo połysku, dobre detale, lekko przetarte tło. Przyzwoicie zachowany egzemplarz.\\Parchimowicz 115a\\Stan zachowania 2-/3+\Waga 17,93 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1581679161_2088k%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1581679161_2088k%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar
2020-03-15|Moneta czyszczona. Przyzwoity stan detali.\\Parchimowicz 115a\\Stan zachowania 3-\Waga 17,99 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1581679377_2312K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1581679377_2312K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar
2020-03-15|Bardzo ładny, świeży egzemplarz. Zachowany połysk menniczy, mikroryski.\\Parchimowicz 115a\\Stan zachowania 2/2+\Waga 18,00 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1581679578_1429K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1581679578_1429K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar
2020-03-15|Resztki połysku menniczego.\\Parchimowicz 115a\\Stan zachowania 3/3+\Waga 17,89 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1581679704_1343k%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1581679704_1343k%20_3_.jpg']|II RP. 5 złotych 1930 Sztandar
2020-03-15|W dużej mierze zachowany połysk menniczy. Bardzo ładny egzemplarz.\\Parchimowicz 115\\Stan zachowania 2-\Waga 18,07 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1581679854_730K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1581679854_730K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar
2020-03-15|Patyna, resztki połysku.\Fischer OB 014\\Stan zachowania 3+\Waga 18,02 Ag.750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1582037965_2667K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1582037965_2667K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar
2020-02-20 (21:02)|Ładnie zachowane detale, niestety przetarty egzemplarz.\Waga: 18,07 g Ag .750\Fischer OB 014|['https://archiwum.niemczyk.pl/images/202002/bfafd0fa48a08b524099c4e8e8df_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202002/cfcd5c944a579629a1d882dea5ea_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.2-
2019-12-20 (18:12)|Patyna, resztki połysku.\Waga: 18,02 Ag.750\Fischer OB 014|['https://archiwum.niemczyk.pl/images/201912/2737e6a6459fb06c39996a8acd10_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201912/a1117a4f422a9f2eb721f22815e2_orginal.jpg']|II RP 5 złotych 1930 sztandar St.3+
2019-12-20 (18:12)|Patyna, resztki połysku.\Waga: 18,00 Ag.750\Fischer OB 014|['https://archiwum.niemczyk.pl/images/201912/3c5719b944df907f435ca0aceb43_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201912/f6dfe48d4b779d4c441bcc420c69_orginal.jpg']|II RP 5 złotych 1930 sztandar St.3+
2019-12-18 (21:12)|Bardzo ładny egzemplarz.\Waga: 18,01 g Ag .750\Fischer OB 014|['https://archiwum.niemczyk.pl/images/201912/6db30e4245cd8e4eb74fcadb88e8_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201912/b1e89a4e4732b6ea19b770ca30e7_orginal.jpg']|II RP 5 złotych 1930 sztandar st.2/2+
2019-12-15|Pięknie zachowany egzemplarz. Wczesna odbitka stempla, delikatna patyna, wspaniały połysk.\Parchimowicz 115a\\Stan zachowania NGC MS62\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1574070206_620.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1574070206_620.K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1574070206_620.K%20_4_.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS62
2019-12-15|Dobre detale, patyna. Ślady dawnego czyszczenia.\Parchimowicz 115a\\\Stan zachowania 3/3+\Waga 17,94 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1574070392_1872K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1574070392_1872K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar
2019-12-15|Bardzo ładny, świeży egzemplarz. Zachowany połysk menniczy. Naruszony Orzeł na drzewcu.\Parchimowicz 115a\\Stan zachowania 2/2+\Waga 17,95 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1574071135_1895.K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1574071136_1895.K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar
2019-12-15|Mimicznej świeżości rewers, mikroryski na awersie. Delikatna patyna. Atrakcyjny egzemplarz.\Parchimowicz 115a\\Stan zachowania 2+/1-\Waga 18,00 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1574071272_1581.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1574071272_1581.K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar
2019-12-12 (20:12)|Kolorowa patyna, resztki połysku.\Waga: 17,93 g Ag .750\Fischer OB 013|['https://archiwum.niemczyk.pl/images/201912/a5b6c91a4b63b8121b81e101d97d_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201912/d70eaa784cc4aeb7eb84d0a82e53_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.3+
2019-11-12 (21:11)|Połysk, delikatna patyna.\Waga: 17,95 g Ag .750\Fischer OB 014|['https://archiwum.niemczyk.pl/images/201911/bf6b28ae4ac0b406fb649612e650_orginal.jpg']|II RP 5 złotych 1930 sztandar st.2-
2019-10-26|Wyśmienity egzemplarz, intensywny połysk menniczy i wspaniale zachowane detale. Bardzo rzadki numizmat w takim stanie zachowania. Polecamy.\Fischer OB 014; Parchimowicz 115a\\Stan zachowania NGC MS63\Waga Ag\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1566903671_203K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1566903671_203K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1566903671_203K%20_3_.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS63
2019-10-26|Piękny menniczy egzemplarz z połyskiem i przepiękną kolorową patyną.\Menniczy egzemplarz dość surowo oceniony przez firmę gradingową.\Fischer OB 014; Parchimowicz 115a\\Stan zachowania NGC MS61\Waga Ag\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1566904048_566K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1566904048_566K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1566904048_566K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS61
2019-10-26|Najwyższa nota gradingowa na świecie.\Ogromnej rzadkości moneta próbna wybita  w mennicy warszawskiej, w brązie na setna rocznicę Powstania Listopadowego w nakładzie zaledwie 20 sztuk. Na dole rewersu, po bokach drzewca sztandaru inicjały W-J - projektanta monety: W. Jarzębowskiego. Z lewej strony sztandaru wklęsły napis PRÓBA. Na rancie napis SALUS - REIPUBLICAE - SUPREMA - LEX.\Ten sam egzemplarz zilustrowany w katalogu J. Parchimowicza „Monety Rzeczypospolitej Polskiej”\Numizmat z piękną, brązową patyną, doskonale zachowanymi detalami i połyskiem menniczym.\Moneta do najlepszych kolekcji. Polecamy.\Parchimowicz P144a\\Stan zachowania NGC MS63 (MAX)\Waga B (Brąz)\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1566565534_1010h.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1564473136_66K%20_522a19_%20_3_%20kopia.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1564473136_66K%20_522a19_%20_2_%20kopia.jpg']|PRÓBA brąz 5 złotych 1930 Sztandar NGC MS63 BN (MAX)
2019-09-25 (20:09)|Ładna, kolorowa patyna.\Waga: 17,95 g Ag .750\Fischer OB 014|['https://archiwum.niemczyk.pl/images/201909/893578b943af88ed0db9ccbaa5f1_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201909/cd3e24734b9f9478ff2535ffafc5_orginal.jpg']|II RP 5 złotych 1930 sztandar st.3+
2019-07-20 (20:07)|Resztki połysku.\Waga: 17,98 Ag. 750\Fischer OB 014\[112-4004]|['https://archiwum.niemczyk.pl/images/201907/b93ddf7b409d9ee6c45761e5eb4b_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201907/be5181604815a928379bdb5e37a3_orginal.jpg']|Polska II RP 5 złotych 1930 Sztandar st. 2-
2019-07-20 (19:07)|Ładny egzemplarz. Patyna.\Waga: 17,92 g Ag. 750\Fischer: OB 014\[112-9005]|['https://archiwum.niemczyk.pl/images/201907/9f14d23147ba9d4b6d5287a5b648_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201907/06d2d1c5425f93cec251109010e4_orginal.jpg']|Polska II RP 5 zł 1930 Sztandar st. 3+
2019-07-19 (18:07)|Patyna. Resztki połysku.\Waga: 18,00 g Ag .750\Fischer OB 014\[112-528]|['https://archiwum.niemczyk.pl/images/201907/a1e9d5d94e1ca120a86d3b45a356_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201907/0eeddb6046ac919a8836e9513645_orginal.jpg']|II RP 5 zł 1930 Sztandar st.3+
2019-07-17 (21:07)|Delikatna patyna, resztki połysku.\Waga: 18,0 g Ag .750\Fischer OB 014\[1073-110WP]|['https://archiwum.niemczyk.pl/images/201907/8116f3bf418a832bf33f051536e2_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201907/72a95a344d16a942adc2ee0bb297_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.3+/2-
2019-07-16 (20:07)|Piękny egzemplarz, kolorowa patyna, połysk.\Ryski przy orle.\Waga: 18,07 g Ag .750\[116-23]|['https://archiwum.niemczyk.pl/images/201907/738e1a9b48a9b8066b82f6cc8495_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201907/833f46ef4a0fb2857467f82be004_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.1- PIĘKNY
2019-06-23 (20:06)|Waga: 17,84 g Ag .750\Fischer OB 014\[1472-1472]|[]|II RP 5 złotych 1930 Sztandar st.3
2019-06-16|Wyśmienicie zachowany, menniczy egzemplarz z pięknym blaskiem menniczy, ładna delikatną patyną. Moneta z najwyższej półki do najlepszych zbiorów.\\Parchimowicz 115a\\Stan zachowania NGC MS64 (2 MAX)\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1557744395_1395%20_640k%20a19_%20_2__K.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1557744395_1395%20_640k%20a19_%20_3__K.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1557744395_1395%20_640k%20a19_%20_1__K.JPG']|II RP. 5 złotych 1930 Sztandar NGC MS64 (2 MAX)
2019-06-16|Pięknie zachowany egzemplarz. Wczesna odbitka stempla, delikatna patyna, wspaniały połysk.\\Fischer OB 014; Parchimowicz 115a\\Stan zachowania NGC MS62\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1557744485_1043K%20_2__K.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1557744485_1043K%20_1__K.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1557744485_1043K%20_3__K.JPG']|II RP. 5 złotych 1930 Sztandar NGC MS62
